year,team_id,team_name,division_id,division_name,league_id,league_name,wins,losses,pct,games_back,wild_card_games_back,division_rank,league_rank,sport_rank,runs_scored,runs_allowed,run_differential,streak_type,streak_number,streak_code,last_updated
2022,142,Minnesota Twins,202,Unknown Division,103,Unknown League,78,84,0.481,14.0,8.0,3,10,18,696,684,12,wins,1,W1,2025-07-15T13:34:41Z
2022,116,Detroit Tigers,202,Unknown Division,103,Unknown League,66,96,0.407,26.0,20.0,4,13,25,557,713,-156,losses,3,L3,2025-08-15T00:54:20Z
2022,118,Kansas City Royals,202,Unknown Division,103,Unknown League,65,97,0.401,27.0,21.0,5,14,26,640,810,-170,losses,2,L2,2024-03-29T20:53:20Z
2022,117,Houston Astros,200,Unknown Division,103,Unknown League,106,56,0.654,-,-,1,1,2,737,518,219,wins,2,W2,2025-06-02T21:08:38Z
2022,136,Seattle Mariners,200,Unknown Division,103,Unknown League,90,72,0.556,16.0,+4.0,2,5,9,690,623,67,wins,3,W3,2024-05-22T17:21:44Z
2022,108,Los Angeles Angels,200,Unknown Division,103,Unknown League,73,89,0.451,33.0,13.0,3,11,21,623,668,-45,losses,3,L3,2024-05-22T20:55:15Z
2022,140,Texas Rangers,200,Unknown Division,103,Unknown League,68,94,0.42,38.0,18.0,4,12,24,707,743,-36,wins,2,W2,2025-07-21T22:12:19Z
2022,133,Oakland Athletics,200,Unknown Division,103,Unknown League,60,102,0.37,46.0,26.0,5,15,29,568,770,-202,wins,4,W4,2025-08-15T00:54:15Z
2022,144,Atlanta Braves,204,Unknown Division,104,Unknown League,101,61,0.623,-,-,1,2,3,789,609,180,losses,1,L1,2023-08-14T17:46:35Z
2022,121,New York Mets,204,Unknown Division,104,Unknown League,101,61,0.623,-,+14.0,2,3,4,772,606,166,wins,3,W3,2025-08-12T17:26:40Z
2022,143,Philadelphia Phillies,204,Unknown Division,104,Unknown League,87,75,0.537,14.0,-,3,6,11,747,685,62,losses,2,L2,2025-01-08T15:38:32Z
2022,146,Miami Marlins,204,Unknown Division,104,Unknown League,69,93,0.426,32.0,18.0,4,11,22,586,676,-90,wins,1,W1,2024-03-29T01:21:05Z
2022,120,Washington Nationals,204,Unknown Division,104,Unknown League,55,107,0.34,46.0,32.0,5,15,30,603,855,-252,losses,5,L5,2025-08-12T17:26:46Z
2022,138,St. Louis Cardinals,205,Unknown Division,104,Unknown League,93,69,0.574,-,-,1,4,6,772,637,135,losses,1,L1,2024-05-22T18:24:00Z
2022,158,Milwaukee Brewers,205,Unknown Division,104,Unknown League,86,76,0.531,7.0,1.0,2,7,12,725,688,37,losses,1,L1,2024-02-09T23:50:05Z
2022,112,Chicago Cubs,205,Unknown Division,104,Unknown League,74,88,0.457,19.0,13.0,3,10,20,657,731,-74,wins,1,W1,2025-07-15T13:34:00Z
2022,113,Cincinnati Reds,205,Unknown Division,104,Unknown League,62,100,0.383,31.0,25.0,4,13,27,648,815,-167,losses,1,L1,2024-05-22T17:35:03Z
2022,134,Pittsburgh Pirates,205,Unknown Division,104,Unknown League,62,100,0.383,31.0,25.0,5,14,28,591,817,-226,wins,1,W1,2025-07-15T13:35:20Z
2022,119,Los Angeles Dodgers,203,Unknown Division,104,Unknown League,111,51,0.685,-,-,1,1,1,847,513,334,wins,1,W1,2024-05-22T18:24:08Z
2022,135,San Diego Padres,203,Unknown Division,104,Unknown League,89,73,0.549,22.0,+2.0,2,5,10,705,660,45,losses,1,L1,2025-03-03T17:06:50Z
2022,137,San Francisco Giants,203,Unknown Division,104,Unknown League,81,81,0.5,30.0,6.0,3,8,16,716,697,19,wins,1,W1,2025-07-15T13:35:27Z
2022,109,Arizona Diamondbacks,203,Unknown Division,104,Unknown League,74,88,0.457,37.0,13.0,4,9,19,702,740,-38,wins,1,W1,2025-01-08T15:38:25Z
2022,115,Colorado Rockies,203,Unknown Division,104,Unknown League,68,94,0.42,43.0,19.0,5,12,23,698,873,-175,losses,1,L1,2023-11-21T19:48:00Z
2023,110,Baltimore Orioles,201,Unknown Division,103,Unknown League,101,61,0.623,-,-,1,1,2,807,678,129,losses,1,L1,2024-10-29T21:46:40Z
2023,139,Tampa Bay Rays,201,Unknown Division,103,Unknown League,99,63,0.611,2.0,+11.0,2,2,4,860,665,195,wins,2,W2,2025-01-15T14:32:38Z
2023,141,Toronto Blue Jays,201,Unknown Division,103,Unknown League,89,73,0.549,12.0,+1.0,3,5,9,746,671,75,losses,2,L2,2025-04-16T00:35:45Z
2023,147,New York Yankees,201,Unknown Division,103,Unknown League,82,80,0.506,19.0,6.0,4,8,16,673,698,-25,losses,1,L1,2024-10-30T21:45:08Z
2023,111,Boston Red Sox,201,Unknown Division,103,Unknown League,78,84,0.481,23.0,10.0,5,9,19,772,776,-4,wins,1,W1,2025-03-03T17:05:27Z
2023,142,Minnesota Twins,202,Unknown Division,103,Unknown League,87,75,0.537,-,-,1,7,11,778,659,119,losses,1,L1,2025-08-13T15:17:15Z
2023,116,Detroit Tigers,202,Unknown Division,103,Unknown League,78,84,0.481,9.0,10.0,2,10,20,661,740,-79,wins,2,W2,2025-07-16T12:08:05Z
2023,114,Cleveland Guardians,202,Unknown Division,103,Unknown League,76,86,0.469,11.0,12.0,3,11,21,662,697,-35,losses,2,L2,2025-04-16T00:34:00Z
2023,145,Chicago White Sox,202,Unknown Division,103,Unknown League,61,101,0.377,26.0,27.0,4,13,27,641,841,-200,losses,3,L3,2025-04-16T00:35:51Z
2023,118,Kansas City Royals,202,Unknown Division,103,Unknown League,56,106,0.346,31.0,32.0,5,14,29,676,859,-183,wins,1,W1,2024-10-03T20:55:05Z
2023,117,Houston Astros,200,Unknown Division,103,Unknown League,90,72,0.556,-,-,1,3,6,827,698,129,wins,4,W4,2025-01-15T14:29:05Z
2023,140,Texas Rangers,200,Unknown Division,103,Unknown League,90,72,0.556,-,-,2,4,8,881,716,165,losses,1,L1,2025-08-13T15:17:21Z
2023,136,Seattle Mariners,200,Unknown Division,103,Unknown League,88,74,0.543,2.0,-,3,6,10,758,659,99,wins,1,W1,2024-11-15T18:04:13Z
2023,108,Los Angeles Angels,200,Unknown Division,103,Unknown League,73,89,0.451,17.0,15.0,4,12,24,739,829,-90,wins,1,W1,2025-07-16T12:08:11Z
2023,133,Oakland Athletics,200,Unknown Division,103,Unknown League,50,112,0.309,40.0,38.0,5,15,30,585,924,-339,losses,1,L1,2025-01-15T14:29:09Z
2023,144,Atlanta Braves,204,Unknown Division,104,Unknown League,104,58,0.642,-,-,1,1,1,947,716,231,losses,1,L1,2025-08-13T02:38:55Z
2023,143,Philadelphia Phillies,204,Unknown Division,104,Unknown League,90,72,0.556,14.0,+6.0,2,4,7,796,715,81,wins,1,W1,2024-12-17T18:27:57Z
2023,146,Miami Marlins,204,Unknown Division,104,Unknown League,84,78,0.519,20.0,-,3,6,13,666,723,-57,losses,1,L1,2024-12-17T18:27:50Z
2023,121,New York Mets,204,Unknown Division,104,Unknown League,75,87,0.463,29.0,9.0,4,12,23,717,729,-12,losses,1,L1,2024-12-17T17:51:05Z
2023,120,Washington Nationals,204,Unknown Division,104,Unknown League,71,91,0.438,33.0,13.0,5,14,26,700,845,-145,wins,1,W1,2024-12-04T16:51:15Z
2023,158,Milwaukee Brewers,205,Unknown Division,104,Unknown League,92,70,0.568,-,-,1,3,5,728,647,81,wins,1,W1,2025-08-13T02:44:53Z
2023,112,Chicago Cubs,205,Unknown Division,104,Unknown League,83,79,0.512,9.0,1.0,2,7,14,819,723,96,losses,1,L1,2025-08-13T02:39:02Z
2023,113,Cincinnati Reds,205,Unknown Division,104,Unknown League,82,80,0.506,10.0,2.0,3,8,15,783,821,-38,losses,2,L2,2025-07-15T13:37:17Z
2023,134,Pittsburgh Pirates,205,Unknown Division,104,Unknown League,76,86,0.469,16.0,8.0,4,11,22,692,790,-98,wins,1,W1,2025-07-15T13:36:32Z
2023,138,St. Louis Cardinals,205,Unknown Division,104,Unknown League,71,91,0.438,21.0,13.0,5,13,25,719,829,-110,wins,2,W2,2025-08-13T02:37:27Z
2023,119,Los Angeles Dodgers,203,Unknown Division,104,Unknown League,100,62,0.617,-,-,1,2,3,906,699,207,wins,1,W1,2025-04-16T00:34:07Z
2023,109,Arizona Diamondbacks,203,Unknown Division,104,Unknown League,84,78,0.519,16.0,-,2,5,12,746,761,-15,losses,4,L4,2025-08-13T02:37:20Z
