year,team_id,team_name,stat_type,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,stolen_bases,caught_stealing,walks,strikeouts,batting_avg,obp,slg,ops,total_bases,hit_by_pitch,sac_flies,sac_bunts,left_on_base,wins,losses,win_percentage,era,games_started,games_finished,complete_games,shutouts,saves,save_opportunities,holds,blown_saves,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,walks_allowed,whip,batters_faced,wild_pitches,hit_batsmen,balks
2021,143,Philadelphia Phillies,batting,162,5366.0,734.0,1288.0,262.0,24.0,198.0,700.0,77.0,19.0,564.0,1402,0.24,0.318,0.408,0.726,2192.0,67.0,43.0,47.0,1115.0,,,,,,,,,,,,,,,,,,,,,,,
2021,110,Baltimore Orioles,batting,162,5420.0,659.0,1296.0,266.0,15.0,195.0,632.0,54.0,23.0,451.0,1454,0.239,0.304,0.402,0.706,2177.0,65.0,31.0,14.0,1046.0,,,,,,,,,,,,,,,,,,,,,,,
2021,121,New York Mets,batting,162,5210.0,636.0,1243.0,228.0,18.0,176.0,604.0,54.0,26.0,495.0,1392,0.239,0.315,0.391,0.706,2035.0,94.0,23.0,34.0,1099.0,,,,,,,,,,,,,,,,,,,,,,,
2021,133,Oakland Athletics,batting,162,5395.0,743.0,1284.0,271.0,19.0,199.0,698.0,88.0,20.0,545.0,1349,0.238,0.317,0.406,0.723,2190.0,98.0,49.0,17.0,1084.0,,,,,,,,,,,,,,,,,,,,,,,
2021,114,Cleveland Indians,batting,162,5332.0,717.0,1269.0,248.0,22.0,203.0,686.0,109.0,17.0,453.0,1387,0.238,0.303,0.407,0.71,2170.0,64.0,36.0,20.0,987.0,,,,,,,,,,,,,,,,,,,,,,,
2021,147,New York Yankees,batting,162,5331.0,711.0,1266.0,213.0,12.0,222.0,666.0,63.0,18.0,621.0,1482,0.237,0.322,0.407,0.729,2169.0,63.0,34.0,10.0,1097.0,,,,,,,,,,,,,,,,,,,,,,,
2021,112,Chicago Cubs,batting,162,5306.0,705.0,1255.0,225.0,26.0,210.0,672.0,86.0,37.0,502.0,1596,0.237,0.312,0.407,0.719,2162.0,92.0,30.0,40.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,
2021,134,Pittsburgh Pirates,batting,162,5336.0,609.0,1261.0,240.0,35.0,124.0,570.0,60.0,30.0,529.0,1328,0.236,0.309,0.364,0.673,1943.0,49.0,37.0,31.0,1128.0,,,,,,,,,,,,,,,,,,,,,,,
2021,109,Arizona Diamondbacks,batting,162,5489.0,679.0,1297.0,308.0,31.0,144.0,644.0,43.0,16.0,537.0,1465,0.236,0.309,0.382,0.691,2099.0,54.0,28.0,32.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,
2021,158,Milwaukee Brewers,batting,162,5362.0,738.0,1251.0,255.0,18.0,194.0,700.0,82.0,21.0,586.0,1465,0.233,0.317,0.396,0.713,2124.0,88.0,35.0,25.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,
2021,146,Miami Marlins,batting,162,5348.0,623.0,1244.0,226.0,23.0,158.0,594.0,106.0,29.0,450.0,1553,0.233,0.298,0.372,0.67,1990.0,65.0,30.0,30.0,1042.0,,,,,,,,,,,,,,,,,,,,,,,
2021,140,Texas Rangers,batting,162,5405.0,625.0,1254.0,225.0,24.0,167.0,598.0,106.0,29.0,433.0,1381,0.232,0.294,0.375,0.669,2028.0,58.0,31.0,16.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,
2021,136,Seattle Mariners,batting,162,5355.0,697.0,1209.0,233.0,11.0,199.0,673.0,64.0,24.0,535.0,1492,0.226,0.303,0.385,0.688,2061.0,72.0,36.0,9.0,1040.0,,,,,,,,,,,,,,,,,,,,,,,
2021,119,Los Angeles Dodgers,pitching,162,,,,,,,,,,,1599,,,,,,,,,,106.0,56.0,0.654,3.01,162.0,161.0,1.0,17.0,56.0,83.0,112.0,27.0,1452.0,1107.0,561.0,486.0,161.0,486.0,1.1,5948.0,52.0,63.0,9.0
2021,137,San Francisco Giants,pitching,162,,,,,,,,,,,1425,,,,,,,,,,107.0,55.0,0.66,3.24,162.0,160.0,2.0,18.0,56.0,85.0,114.0,29.0,1455.0,1254.0,594.0,524.0,151.0,416.0,1.15,6002.0,44.0,63.0,7.0
2021,158,Milwaukee Brewers,pitching,162,,,,,,,,,,,1618,,,,,,,,,,95.0,67.0,0.586,3.5,162.0,160.0,2.0,19.0,44.0,73.0,82.0,29.0,1436.0,1156.0,623.0,558.0,168.0,537.0,1.18,5990.0,60.0,77.0,9.0
2021,139,Tampa Bay Rays,pitching,162,,,,,,,,,,,1478,,,,,,,,,,100.0,62.0,0.617,3.67,162.0,161.0,1.0,13.0,42.0,64.0,93.0,22.0,1455.2,1264.0,651.0,593.0,184.0,436.0,1.17,5998.0,64.0,55.0,6.0
2021,145,Chicago White Sox,pitching,162,,,,,,,,,,,1588,,,,,,,,,,93.0,69.0,0.574,3.73,162.0,158.0,4.0,13.0,43.0,68.0,92.0,25.0,1403.1,1205.0,636.0,581.0,182.0,485.0,1.2,5861.0,84.0,51.0,6.0
2021,147,New York Yankees,pitching,162,,,,,,,,,,,1569,,,,,,,,,,92.0,70.0,0.568,3.74,162.0,159.0,3.0,13.0,47.0,73.0,85.0,26.0,1435.1,1243.0,669.0,596.0,196.0,492.0,1.21,5999.0,85.0,56.0,8.0
2021,117,Houston Astros,pitching,162,,,,,,,,,,,1456,,,,,,,,,,95.0,67.0,0.586,3.78,162.0,160.0,2.0,8.0,34.0,61.0,69.0,27.0,1445.0,1231.0,658.0,607.0,187.0,549.0,1.23,6060.0,72.0,70.0,4.0
2021,144,Atlanta Braves,pitching,161,,,,,,,,,,,1417,,,,,,,,,,88.0,73.0,0.547,3.88,161.0,159.0,2.0,18.0,40.0,67.0,113.0,27.0,1410.2,1237.0,656.0,608.0,183.0,516.0,1.24,5944.0,73.0,66.0,8.0
2021,121,New York Mets,pitching,162,,,,,,,,,,,1453,,,,,,,,,,77.0,85.0,0.475,3.9,162.0,160.0,2.0,8.0,41.0,69.0,76.0,28.0,1379.1,1221.0,668.0,597.0,190.0,475.0,1.23,5785.0,53.0,70.0,1.0
2021,141,Toronto Blue Jays,pitching,162,,,,,,,,,,,1468,,,,,,,,,,91.0,71.0,0.562,3.91,162.0,161.0,1.0,14.0,34.0,52.0,64.0,18.0,1405.1,1257.0,663.0,610.0,209.0,473.0,1.23,5916.0,54.0,75.0,4.0
2021,146,Miami Marlins,pitching,162,,,,,,,,,,,1381,,,,,,,,,,67.0,95.0,0.414,3.96,162.0,161.0,1.0,8.0,33.0,58.0,75.0,25.0,1415.0,1282.0,701.0,622.0,162.0,529.0,1.28,6027.0,58.0,88.0,2.0
2021,138,St. Louis Cardinals,pitching,162,,,,,,,,,,,1225,,,,,,,,,,90.0,72.0,0.556,3.98,162.0,159.0,3.0,15.0,50.0,71.0,108.0,21.0,1417.0,1234.0,672.0,626.0,152.0,608.0,1.3,6046.0,66.0,85.0,4.0
2021,133,Oakland Athletics,pitching,162,,,,,,,,,,,1332,,,,,,,,,,86.0,76.0,0.531,4.02,162.0,159.0,3.0,11.0,39.0,67.0,71.0,28.0,1433.0,1362.0,687.0,640.0,191.0,439.0,1.26,6060.0,63.0,64.0,2.0
2021,135,San Diego Padres,pitching,162,,,,,,,,,,,1517,,,,,,,,,,79.0,83.0,0.488,4.1,162.0,160.0,2.0,11.0,43.0,71.0,92.0,28.0,1430.0,1277.0,708.0,651.0,205.0,516.0,1.25,6056.0,57.0,87.0,2.0
2021,111,Boston Red Sox,pitching,162,,,,,,,,,,,1527,,,,,,,,,,92.0,70.0,0.568,4.26,162.0,162.0,0.0,7.0,49.0,76.0,93.0,27.0,1419.0,1409.0,749.0,671.0,176.0,546.0,1.38,6147.0,63.0,79.0,6.0
2021,136,Seattle Mariners,pitching,162,,,,,,,,,,,1328,,,,,,,,,,90.0,72.0,0.556,4.3,162.0,161.0,1.0,10.0,51.0,84.0,100.0,33.0,1440.1,1356.0,748.0,688.0,197.0,485.0,1.28,6106.0,58.0,69.0,3.0
2021,116,Detroit Tigers,pitching,162,,,,,,,,,,,1259,,,,,,,,,,77.0,85.0,0.475,4.32,162.0,160.0,2.0,7.0,42.0,66.0,79.0,24.0,1419.2,1370.0,756.0,681.0,199.0,571.0,1.37,6164.0,80.0,82.0,3.0
2021,114,Cleveland Indians,pitching,162,,,,,,,,,,,1391,,,,,,,,,,80.0,82.0,0.494,4.34,162.0,162.0,0.0,9.0,39.0,58.0,66.0,19.0,1408.0,1281.0,727.0,679.0,216.0,522.0,1.28,5968.0,52.0,59.0,8.0
2021,143,Philadelphia Phillies,pitching,162,,,,,,,,,,,1480,,,,,,,,,,82.0,80.0,0.506,4.39,162.0,157.0,5.0,12.0,36.0,70.0,70.0,34.0,1418.2,1321.0,745.0,692.0,200.0,509.0,1.29,6055.0,49.0,75.0,5.0
2021,113,Cincinnati Reds,pitching,162,,,,,,,,,,,1524,,,,,,,,,,83.0,79.0,0.512,4.4,162.0,161.0,1.0,8.0,41.0,66.0,73.0,25.0,1434.1,1330.0,760.0,702.0,206.0,617.0,1.36,6199.0,62.0,64.0,8.0
2021,118,Kansas City Royals,pitching,162,,,,,,,,,,,1344,,,,,,,,,,74.0,88.0,0.457,4.64,162.0,161.0,1.0,7.0,37.0,62.0,83.0,25.0,1417.1,1375.0,788.0,731.0,189.0,591.0,1.39,6127.0,86.0,62.0,9.0
2021,108,Los Angeles Angels,pitching,162,,,,,,,,,,,1453,,,,,,,,,,77.0,85.0,0.475,4.69,162.0,161.0,1.0,4.0,39.0,65.0,71.0,26.0,1421.2,1373.0,804.0,741.0,188.0,592.0,1.38,6196.0,56.0,76.0,11.0
2021,140,Texas Rangers,pitching,162,,,,,,,,,,,1239,,,,,,,,,,60.0,102.0,0.37,4.79,162.0,162.0,0.0,3.0,31.0,51.0,65.0,20.0,1424.1,1402.0,815.0,758.0,232.0,513.0,1.34,6103.0,67.0,61.0,0.0
2021,120,Washington Nationals,pitching,162,,,,,,,,,,,1346,,,,,,,,,,65.0,97.0,0.401,4.8,162.0,161.0,1.0,8.0,36.0,72.0,97.0,36.0,1394.1,1364.0,820.0,744.0,247.0,548.0,1.37,6073.0,43.0,71.0,1.0
2021,115,Colorado Rockies,pitching,161,,,,,,,,,,,1269,,,,,,,,,,74.0,87.0,0.46,4.82,161.0,158.0,3.0,6.0,33.0,63.0,74.0,30.0,1397.0,1397.0,796.0,748.0,196.0,539.0,1.39,6044.0,67.0,63.0,3.0
2021,142,Minnesota Twins,pitching,162,,,,,,,,,,,1317,,,,,,,,,,73.0,89.0,0.451,4.83,162.0,161.0,1.0,9.0,42.0,63.0,89.0,21.0,1419.1,1392.0,834.0,762.0,239.0,484.0,1.32,6080.0,48.0,62.0,3.0
2021,112,Chicago Cubs,pitching,162,,,,,,,,,,,1358,,,,,,,,,,71.0,91.0,0.438,4.87,162.0,161.0,1.0,8.0,40.0,59.0,74.0,19.0,1412.2,1386.0,839.0,765.0,235.0,596.0,1.4,6202.0,60.0,98.0,4.0
2021,134,Pittsburgh Pirates,pitching,162,,,,,,,,,,,1312,,,,,,,,,,61.0,101.0,0.377,5.08,162.0,162.0,0.0,6.0,25.0,50.0,79.0,25.0,1396.1,1400.0,833.0,788.0,213.0,606.0,1.44,6140.0,55.0,78.0,5.0
2021,109,Arizona Diamondbacks,pitching,162,,,,,,,,,,,1238,,,,,,,,,,52.0,110.0,0.321,5.11,162.0,159.0,3.0,4.0,22.0,50.0,68.0,28.0,1417.1,1480.0,893.0,804.0,232.0,555.0,1.44,6270.0,43.0,75.0,7.0
2021,110,Baltimore Orioles,pitching,162,,,,,,,,,,,1234,,,,,,,,,,52.0,110.0,0.321,5.84,162.0,161.0,1.0,5.0,26.0,54.0,63.0,28.0,1402.0,1518.0,956.0,910.0,258.0,563.0,1.48,6252.0,88.0,68.0,7.0
2022,141,Toronto Blue Jays,batting,162,5555.0,775.0,1464.0,307.0,12.0,200.0,756.0,67.0,35.0,500.0,1242,0.264,0.329,0.431,0.76,2395.0,55.0,33.0,8.0,1111.0,,,,,,,,,,,,,,,,,,,,,,,
2022,121,New York Mets,batting,162,5489.0,772.0,1422.0,272.0,27.0,171.0,735.0,62.0,22.0,510.0,1217,0.259,0.332,0.412,0.744,2261.0,112.0,44.0,20.0,1158.0,,,,,,,,,,,,,,,,,,,,,,,
2022,111,Boston Red Sox,batting,162,5539.0,735.0,1427.0,352.0,12.0,155.0,704.0,52.0,20.0,478.0,1373,0.258,0.321,0.409,0.73,2268.0,63.0,50.0,12.0,1133.0,,,,,,,,,,,,,,,,,,,,,,,
2022,119,Los Angeles Dodgers,batting,162,5526.0,847.0,1418.0,325.0,31.0,212.0,812.0,98.0,18.0,607.0,1374,0.257,0.333,0.442,0.775,2441.0,56.0,53.0,3.0,1159.0,,,,,,,,,,,,,,,,,,,,,,,
2022,145,Chicago White Sox,batting,162,5611.0,686.0,1435.0,272.0,9.0,149.0,654.0,58.0,10.0,388.0,1269,0.256,0.31,0.387,0.697,2172.0,73.0,35.0,16.0,1117.0,,,,,,,,,,,,,,,,,,,,,,,
2022,115,Colorado Rockies,batting,162,5540.0,698.0,1408.0,280.0,34.0,149.0,669.0,45.0,20.0,453.0,1330,0.254,0.315,0.398,0.713,2203.0,61.0,40.0,10.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,
2022,114,Cleveland Guardians,batting,162,5558.0,698.0,1410.0,273.0,31.0,127.0,662.0,119.0,27.0,450.0,1122,0.254,0.316,0.383,0.699,2126.0,81.0,52.0,22.0,1156.0,,,,,,,,,,,,,,,,,,,,,,,
2022,143,Philadelphia Phillies,batting,162,5496.0,747.0,1392.0,255.0,29.0,205.0,719.0,105.0,28.0,478.0,1363,0.253,0.317,0.422,0.739,2320.0,52.0,44.0,6.0,1075.0,,,,,,,,,,,,,,,,,,,,,,,
2022,144,Atlanta Braves,batting,162,5509.0,789.0,1394.0,298.0,11.0,243.0,753.0,87.0,31.0,470.0,1498,0.253,0.317,0.443,0.76,2443.0,66.0,36.0,1.0,1030.0,,,,,,,,,,,,,,,,,,,,,,,
2022,138,St. Louis Cardinals,batting,162,5496.0,772.0,1386.0,290.0,21.0,197.0,739.0,95.0,25.0,537.0,1226,0.252,0.325,0.42,0.745,2309.0,80.0,45.0,5.0,1132.0,,,,,,,,,,,,,,,,,,,,,,,
2022,120,Washington Nationals,batting,162,5434.0,603.0,1351.0,252.0,20.0,136.0,579.0,75.0,31.0,442.0,1221,0.249,0.31,0.377,0.687,2051.0,60.0,37.0,20.0,1099.0,,,,,,,,,,,,,,,,,,,,,,,
2022,117,Houston Astros,batting,162,5409.0,737.0,1341.0,284.0,13.0,214.0,715.0,83.0,22.0,528.0,1179,0.248,0.319,0.424,0.743,2293.0,60.0,42.0,9.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,
2022,142,Minnesota Twins,batting,162,5476.0,696.0,1356.0,269.0,18.0,178.0,668.0,38.0,17.0,518.0,1353,0.248,0.317,0.401,0.718,2195.0,62.0,46.0,10.0,1126.0,,,,,,,,,,,,,,,,,,,,,,,
2022,118,Kansas City Royals,batting,162,5437.0,640.0,1327.0,247.0,38.0,138.0,613.0,104.0,34.0,460.0,1287,0.244,0.306,0.38,0.686,2064.0,48.0,44.0,20.0,1091.0,,,,,,,,,,,,,,,,,,,,,,,
2022,147,New York Yankees,batting,162,5422.0,807.0,1308.0,225.0,8.0,254.0,764.0,102.0,33.0,620.0,1391,0.241,0.325,0.426,0.751,2311.0,70.0,41.0,14.0,1093.0,,,,,,,,,,,,,,,,,,,,,,,
2022,135,San Diego Padres,batting,162,5468.0,705.0,1317.0,275.0,18.0,153.0,682.0,49.0,22.0,574.0,1327,0.241,0.318,0.382,0.7,2087.0,65.0,46.0,17.0,1174.0,,,,,,,,,,,,,,,,,,,,,,,
2022,139,Tampa Bay Rays,batting,162,5412.0,666.0,1294.0,296.0,17.0,139.0,634.0,95.0,37.0,500.0,1395,0.239,0.309,0.377,0.686,2041.0,57.0,31.0,7.0,1074.0,,,,,,,,,,,,,,,,,,,,,,,
2022,140,Texas Rangers,batting,162,5478.0,707.0,1308.0,224.0,20.0,198.0,670.0,128.0,41.0,456.0,1446,0.239,0.301,0.395,0.696,2166.0,47.0,38.0,10.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,
2022,112,Chicago Cubs,batting,162,5425.0,657.0,1293.0,265.0,31.0,159.0,620.0,111.0,37.0,507.0,1448,0.238,0.311,0.387,0.698,2097.0,84.0,36.0,19.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,
2022,110,Baltimore Orioles,batting,162,5429.0,674.0,1281.0,275.0,25.0,171.0,639.0,95.0,31.0,476.0,1390,0.236,0.305,0.39,0.695,2119.0,83.0,43.0,12.0,1095.0,,,,,,,,,,,,,,,,,,,,,,,
2022,113,Cincinnati Reds,batting,162,5380.0,648.0,1264.0,235.0,18.0,156.0,618.0,58.0,33.0,452.0,1430,0.235,0.304,0.372,0.676,2003.0,92.0,33.0,12.0,1020.0,,,,,,,,,,,,,,,,,,,,,,,
2022,158,Milwaukee Brewers,batting,162,5417.0,725.0,1271.0,251.0,17.0,219.0,703.0,96.0,30.0,577.0,1464,0.235,0.315,0.409,0.724,2213.0,80.0,37.0,11.0,1102.0,,,,,,,,,,,,,,,,,,,,,,,
2022,137,San Francisco Giants,batting,162,5392.0,716.0,1260.0,255.0,18.0,183.0,683.0,64.0,16.0,571.0,1462,0.234,0.315,0.389,0.704,2100.0,95.0,53.0,6.0,1115.0,,,,,,,,,,,,,,,,,,,,,,,
2022,108,Los Angeles Angels,batting,162,5423.0,623.0,1265.0,219.0,31.0,190.0,600.0,77.0,27.0,449.0,1539,0.233,0.297,0.39,0.687,2116.0,54.0,25.0,25.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,
2022,116,Detroit Tigers,batting,162,5378.0,557.0,1240.0,235.0,27.0,110.0,530.0,47.0,24.0,380.0,1413,0.231,0.286,0.346,0.632,1859.0,58.0,44.0,10.0,1015.0,,,,,,,,,,,,,,,,,,,,,,,
2022,109,Arizona Diamondbacks,batting,162,5351.0,702.0,1232.0,262.0,24.0,173.0,658.0,104.0,29.0,531.0,1341,0.23,0.304,0.385,0.689,2061.0,60.0,50.0,31.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,
2022,146,Miami Marlins,batting,162,5395.0,586.0,1241.0,248.0,20.0,144.0,554.0,122.0,29.0,436.0,1429,0.23,0.294,0.363,0.657,1961.0,70.0,36.0,4.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,
2022,136,Seattle Mariners,batting,162,5375.0,690.0,1236.0,229.0,19.0,197.0,663.0,83.0,27.0,596.0,1397,0.23,0.315,0.39,0.705,2094.0,89.0,45.0,9.0,1129.0,,,,,,,,,,,,,,,,,,,,,,,
2022,134,Pittsburgh Pirates,batting,162,5331.0,591.0,1186.0,221.0,29.0,158.0,555.0,89.0,32.0,476.0,1497,0.222,0.291,0.364,0.655,1939.0,54.0,32.0,19.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,
2022,133,Oakland Athletics,batting,162,5314.0,568.0,1147.0,249.0,15.0,137.0,537.0,78.0,23.0,433.0,1389,0.216,0.281,0.346,0.627,1837.0,59.0,33.0,22.0,969.0,,,,,,,,,,,,,,,,,,,,,,,
2022,119,Los Angeles Dodgers,pitching,162,,,,,,,,,,,1465,,,,,,,,,,111.0,51.0,0.685,2.8,162.0,161.0,1.0,15.0,43.0,61.0,93.0,18.0,1451.1,1114.0,513.0,451.0,152.0,407.0,1.05,5865.0,38.0,75.0,3.0
2022,117,Houston Astros,pitching,162,,,,,,,,,,,1524,,,,,,,,,,106.0,56.0,0.654,2.9,162.0,159.0,3.0,18.0,53.0,69.0,105.0,16.0,1445.1,1121.0,518.0,465.0,134.0,458.0,1.09,5856.0,56.0,60.0,6.0
2022,147,New York Yankees,pitching,162,,,,,,,,,,,1459,,,,,,,,,,99.0,63.0,0.611,3.3,162.0,161.0,1.0,16.0,47.0,68.0,81.0,21.0,1451.2,1177.0,567.0,532.0,157.0,444.0,1.12,5938.0,40.0,65.0,5.0
2022,139,Tampa Bay Rays,pitching,162,,,,,,,,,,,1384,,,,,,,,,,86.0,76.0,0.531,3.41,162.0,162.0,0.0,10.0,44.0,80.0,116.0,36.0,1435.2,1260.0,614.0,544.0,172.0,384.0,1.15,5930.0,54.0,66.0,4.0
2022,144,Atlanta Braves,pitching,162,,,,,,,,,,,1554,,,,,,,,,,101.0,61.0,0.623,3.46,162.0,161.0,1.0,9.0,55.0,83.0,114.0,28.0,1448.0,1224.0,609.0,556.0,148.0,500.0,1.19,6031.0,55.0,62.0,4.0
2022,114,Cleveland Guardians,pitching,162,,,,,,,,,,,1390,,,,,,,,,,92.0,70.0,0.568,3.46,162.0,161.0,1.0,8.0,51.0,69.0,61.0,18.0,1456.0,1252.0,634.0,560.0,172.0,435.0,1.16,5989.0,49.0,57.0,2.0
2022,121,New York Mets,pitching,162,,,,,,,,,,,1565,,,,,,,,,,101.0,61.0,0.623,3.57,162.0,162.0,0.0,19.0,41.0,56.0,76.0,15.0,1438.2,1274.0,606.0,570.0,169.0,428.0,1.18,5950.0,35.0,71.0,2.0
2022,136,Seattle Mariners,pitching,162,,,,,,,,,,,1391,,,,,,,,,,90.0,72.0,0.556,3.59,162.0,162.0,0.0,10.0,40.0,55.0,92.0,15.0,1447.0,1277.0,623.0,577.0,186.0,447.0,1.19,5986.0,45.0,56.0,0.0
2022,108,Los Angeles Angels,pitching,162,,,,,,,,,,,1383,,,,,,,,,,73.0,89.0,0.451,3.77,162.0,160.0,2.0,17.0,38.0,66.0,79.0,28.0,1435.2,1241.0,668.0,601.0,168.0,540.0,1.24,6038.0,64.0,60.0,3.0
2022,138,St. Louis Cardinals,pitching,162,,,,,,,,,,,1177,,,,,,,,,,93.0,69.0,0.574,3.79,162.0,159.0,3.0,17.0,37.0,54.0,70.0,17.0,1435.2,1335.0,637.0,605.0,146.0,489.0,1.27,6014.0,43.0,60.0,3.0
2022,135,San Diego Padres,pitching,162,,,,,,,,,,,1451,,,,,,,,,,89.0,73.0,0.549,3.81,162.0,162.0,0.0,15.0,48.0,70.0,71.0,22.0,1443.1,1263.0,660.0,611.0,173.0,468.0,1.2,6047.0,54.0,88.0,5.0
2022,158,Milwaukee Brewers,pitching,162,,,,,,,,,,,1530,,,,,,,,,,86.0,76.0,0.531,3.83,162.0,162.0,0.0,11.0,52.0,83.0,106.0,31.0,1446.0,1238.0,688.0,615.0,190.0,521.0,1.22,6057.0,47.0,67.0,4.0
2022,137,San Francisco Giants,pitching,162,,,,,,,,,,,1370,,,,,,,,,,81.0,81.0,0.5,3.85,162.0,161.0,1.0,8.0,39.0,61.0,75.0,22.0,1433.0,1397.0,697.0,613.0,132.0,441.0,1.28,6070.0,53.0,52.0,2.0
