year,team_id,team_name,stat_type,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,stolen_bases,caught_stealing,walks,strikeouts,batting_avg,obp,slg,ops,total_bases,hit_by_pitch,sac_flies,sac_bunts,left_on_base,wins,losses,win_percentage,era,games_started,games_finished,complete_games,shutouts,saves,save_opportunities,holds,blown_saves,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,walks_allowed,whip,batters_faced,wild_pitches,hit_batsmen,balks
2021,117,Houston Astros,batting,162,5593.0,863.0,1496.0,299.0,14.0,221.0,834.0,53.0,16.0,569.0,1222,0.267,0.339,0.444,0.783,2486.0,64.0,54.0,9.0,1159.0,,,,,,,,,,,,,,,,,,,,,,,
2021,141,Toronto Blue Jays,batting,162,5476.0,846.0,1455.0,285.0,13.0,262.0,816.0,81.0,20.0,496.0,1218,0.266,0.33,0.466,0.796,2552.0,51.0,35.0,10.0,1056.0,,,,,,,,,,,,,,,,,,,,,,,
2021,111,Boston Red Sox,batting,162,5495.0,829.0,1434.0,330.0,23.0,219.0,783.0,40.0,21.0,512.0,1386,0.261,0.328,0.449,0.777,2467.0,61.0,42.0,10.0,1093.0,,,,,,,,,,,,,,,,,,,,,,,
2021,120,Washington Nationals,batting,162,5385.0,724.0,1388.0,272.0,20.0,182.0,686.0,56.0,26.0,573.0,1303,0.258,0.337,0.417,0.754,2246.0,84.0,31.0,38.0,1185.0,,,,,,,,,,,,,,,,,,,,,,,
2021,145,Chicago White Sox,batting,162,5357.0,796.0,1373.0,275.0,22.0,190.0,757.0,57.0,20.0,586.0,1389,0.256,0.336,0.422,0.758,2262.0,78.0,39.0,24.0,1125.0,,,,,,,,,,,,,,,,,,,,,,,
2021,113,Cincinnati Reds,batting,162,5423.0,786.0,1352.0,295.0,13.0,222.0,756.0,36.0,24.0,553.0,1425,0.249,0.328,0.431,0.759,2339.0,105.0,45.0,35.0,1110.0,,,,,,,,,,,,,,,,,,,,,,,
2021,137,San Francisco Giants,batting,162,5462.0,804.0,1360.0,271.0,25.0,241.0,768.0,66.0,14.0,602.0,1461,0.249,0.329,0.44,0.769,2404.0,64.0,30.0,36.0,1138.0,,,,,,,,,,,,,,,,,,,,,,,
2021,115,Colorado Rockies,batting,161,5374.0,739.0,1338.0,275.0,34.0,182.0,709.0,76.0,23.0,491.0,1356,0.249,0.317,0.414,0.731,2227.0,58.0,36.0,48.0,1074.0,,,,,,,,,,,,,,,,,,,,,,,
2021,118,Kansas City Royals,batting,162,5427.0,686.0,1349.0,251.0,29.0,163.0,647.0,124.0,33.0,421.0,1258,0.249,0.306,0.396,0.702,2147.0,55.0,52.0,31.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,
2021,108,Los Angeles Angels,batting,162,5437.0,723.0,1331.0,265.0,23.0,190.0,691.0,79.0,26.0,464.0,1394,0.245,0.31,0.407,0.717,2212.0,59.0,25.0,30.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,
2021,119,Los Angeles Dodgers,batting,162,5445.0,830.0,1330.0,247.0,24.0,237.0,799.0,65.0,17.0,613.0,1408,0.244,0.33,0.429,0.759,2336.0,104.0,45.0,32.0,1171.0,,,,,,,,,,,,,,,,,,,,,,,
2021,144,Atlanta Braves,batting,161,5363.0,790.0,1307.0,269.0,20.0,239.0,762.0,59.0,19.0,549.0,1453,0.244,0.319,0.435,0.754,2333.0,67.0,43.0,32.0,1072.0,,,,,,,,,,,,,,,,,,,,,,,
2021,138,St. Louis Cardinals,batting,162,5351.0,706.0,1303.0,261.0,22.0,198.0,678.0,89.0,22.0,478.0,1341,0.244,0.313,0.412,0.725,2202.0,86.0,44.0,40.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,
2021,139,Tampa Bay Rays,batting,162,5507.0,857.0,1336.0,288.0,36.0,222.0,810.0,88.0,42.0,585.0,1542,0.243,0.321,0.429,0.75,2362.0,72.0,41.0,6.0,1085.0,,,,,,,,,,,,,,,,,,,,,,,
2021,135,San Diego Padres,batting,162,5384.0,729.0,1305.0,273.0,21.0,180.0,695.0,110.0,39.0,586.0,1324,0.242,0.321,0.401,0.722,2160.0,61.0,46.0,36.0,1123.0,,,,,,,,,,,,,,,,,,,,,,,
2021,116,Detroit Tigers,batting,162,5376.0,697.0,1299.0,236.0,37.0,179.0,675.0,88.0,25.0,490.0,1514,0.242,0.308,0.399,0.707,2146.0,44.0,50.0,17.0,1031.0,,,,,,,,,,,,,,,,,,,,,,,
2021,142,Minnesota Twins,batting,162,5431.0,729.0,1311.0,271.0,17.0,228.0,690.0,54.0,15.0,525.0,1405,0.241,0.314,0.423,0.737,2300.0,70.0,42.0,7.0,1092.0,,,,,,,,,,,,,,,,,,,,,,,
